Date,Stone,Pounds,Ounces,weight_oz,calories,cals_per_oz,five_donuts,walk,run,wine,prot,weight,change
9/13/2018,11,12,4,2660,6300,2.37,1,1,0,1,1,1,18
9/14/2018,11,13,6,2678,1700,0.63,0,1,0,0,1,1,-4
9/15/2018,11,13,2,2674,5650,2.11,0,1,1,0,1,1,16
9/16/2018,12,0,2,2690,5900,2.19,0,0,0,0,1,1,34
9/17/2018,12,2,4,2724,2250,0.83,0,1,0,0,1,1,-30
9/18/2018,12,0,6,2694,2350,0.87,0,1,1,0,1,1,-20
9/19/2018,11,13,2,2674,2600,0.97,0,1,0,0,1,1,0
9/20/2018,11,13,2,2674,5400,2.02,0,1,0,0,1,1,18
9/21/2018,12,0,4,2692,4400,1.63,0,1,0,1,1,1,2
9/22/2018,12,0,6,2694,3050,1.13,0,1,0,1,1,1,0
9/23/2018,12,0,6,2694,5900,2.19,0,0,1,0,1,1,12
9/24/2018,12,1,2,2706,2400,0.89,0,1,0,0,1,1,-12
9/25/2018,12,0,6,2694,1900,0.71,0,1,0,1,1,1,-20
9/26/2018,11,13,2,2674,2300,0.86,0,1,0,0,1,1,6
9/27/2018,11,13,8,2680,2550,0.95,1,1,0,0,1,1,-8
10/27/2018,12,1,0,2704,2950,1.09,0,0,1,1,0,0,-16
10/28/2018,12,0,0,2688,7550,2.81,0,0,0,1,0,0,64
10/29/2018,12,4,0,2752,1400,0.51,0,1,0,0,0,0,-48
10/30/2018,12,1,0,2704,1550,0.57,0,1,0,0,0,0,-32
10/31/2018,11,13,0,2672,2350,0.88,1,1,1,0,0,0,-8
11/13/2018,12,1,2,2706,2050,0.76,0,1,1,0,0,1,-16
11/14/2018,12,0,2,2690,5850,2.17,1,0,0,0,0,1,48
11/15/2018,12,3,2,2738,1950,0.71,0,0,1,0,0,1,-58
11/16/2018,11,13,8,2680,5050,1.88,0,1,0,0,1,1,12
11/17/2018,12,0,4,2692,6200,2.3,0,0,1,1,0,1,12
11/18/2018,12,1,0,2704,7050,2.61,0,0,0,0,0,1,34
11/19/2018,12,3,2,2738,2200,0.8,1,0,1,0,0,1,-42
11/20/2018,12,0,8,2696,2350,0.87,0,1,0,0,0,1,26
11/21/2018,12,2,2,2722,5350,1.97,1,0,0,1,0,1,14
11/22/2018,12,3,0,2736,1600,0.58,1,1,1,0,0,1,-46
11/23/2018,12,0,2,2690,3150,1.17,1,1,0,1,0,0,-10
11/24/2018,11,13,8,2680,3750,1.4,0,0,1,0,0,0,26
11/25/2018,12,1,2,2706,6400,2.37,0,0,0,1,0,0,20
11/26/2018,12,2,6,2726,2000,0.73,1,1,0,0,0,0,-20
11/27/2018,12,1,2,2706,2200,0.81,1,1,0,1,0,0,-18
11/28/2018,12,0,0,2688,2350,0.87,1,1,1,0,0,1,-8
11/29/2018,11,13,8,2680,2050,0.76,1,1,0,0,0,1,-8
11/30/2018,11,13,0,2672,3150,1.18,0,0,1,1,0,1,18
